,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,97124.01475880085
2018-03-02,98545.36494965537
2018-03-05,99219.18707508482
2018-03-06,100628.36053729689
2018-03-07,100760.5891443991
2018-03-08,100785.73466894512
2018-03-09,102486.70002682871
2018-03-12,103363.93203665275
2018-03-13,102111.43452545966
2018-03-14,102090.29792626217
2018-03-15,101900.47738119416
2018-03-16,101819.16004415756
2018-03-19,100294.5965312064
2018-03-20,100798.33641979251
2018-03-21,101293.3289717428
2018-03-22,99070.53941331897
2018-03-23,96690.33530545008
2018-03-26,99991.62982703967
2018-03-27,96931.70587742538
2018-03-28,94990.52921632426
2018-03-29,96629.8842520432
2018-04-02,92751.81883161444
2018-04-03,94508.63873884613
2018-04-04,95724.46622827662
2018-04-05,94744.29037949072
2018-04-06,91878.76881586673
2018-04-09,92457.2244481304
2018-04-10,95413.82186386644
2018-04-11,95451.3049667811
2018-04-12,97250.96460005356
2018-04-13,96533.23676651095
2018-04-16,96704.62881809438
2018-04-17,98536.42819012352
2018-04-18,97566.95232862172
2018-04-19,93346.34433325643
2018-04-20,92243.01255895839
2018-04-23,91016.45856430753
2018-04-24,90282.64760241845
2018-04-25,90170.15851677007
2018-04-26,92012.68439401957
2018-04-27,91369.96254321068
2018-04-30,90368.35357243627
2018-05-01,90929.79158745895
2018-05-02,90942.21067954945
2018-05-03,91261.31005641923
2018-05-04,92678.99604472784
2018-05-07,93329.05529261623
2018-05-08,93618.91153408881
2018-05-09,94573.05250058525
2018-05-10,95607.6972324063
2018-05-11,95357.95082768938
2018-05-14,95187.04606471144
2018-05-15,94225.03627228578
2018-05-16,94598.45270995222
2018-05-17,94228.7543074119
2018-05-18,93940.58192092626
2018-05-21,94545.78520704996
2018-05-22,94354.1609116355
2018-05-23,94963.79760691506
2018-05-24,95060.98700759049
2018-05-25,95022.83906131945
2018-05-29,94585.26668315557
2018-05-30,95176.84660395062
2018-05-31,95057.54700796207
2018-06-01,96146.26782712698
2018-06-04,96774.70782700283
2018-06-05,97275.85080145212
2018-06-06,97738.64372194931
2018-06-07,96837.79661617143
2018-06-08,96873.35156514584
2018-06-11,96898.98407269956
2018-06-12,97358.29283799298
2018-06-13,97261.88141556892
2018-06-14,97710.01589995682
2018-06-15,97096.98441905684
2018-06-18,97177.67006479047
2018-06-19,96586.62782619131
2018-06-20,96719.03968261776
2018-06-21,95994.12856405356
2018-06-22,95628.26516312597
2018-06-25,93775.71421627252
2018-06-26,94076.73063132833
2018-06-27,92810.74646408074
2018-06-28,93606.88511319616
2018-06-29,93718.90572964042
2018-07-02,93845.36044126042
2018-07-03,93161.12831731366
2018-07-05,94148.3213030396
2018-07-06,95290.9874764979
2018-07-09,96025.47444912711
2018-07-10,96047.46787391677
2018-07-11,95451.73982362697
2018-07-12,96854.19361115377
2018-07-13,96837.60802557805
2018-07-16,96640.69011938064
2018-07-17,96915.61374974254
2018-07-18,96772.1340078508
2018-07-19,96300.97129676805
2018-07-20,96401.77972525732
2018-07-23,96561.97672491406
2018-07-24,96890.84954283657
2018-07-25,98090.27942351425
2018-07-26,96739.32075419358
2018-07-27,95689.48181787238
2018-07-30,94566.95885147726
2018-07-31,95204.68875722785
2018-08-01,95375.23023348366
2018-08-02,96672.9857167502
2018-08-03,96969.15609482647
2018-08-06,97539.9408568203
2018-08-07,97895.32976532374
2018-08-08,98013.8186434717
2018-08-09,97954.55693196651
2018-08-10,97206.04748896632
2018-08-13,97098.38842519136
2018-08-14,97706.85299588488
2018-08-15,96511.4539400097
2018-08-16,96829.13713116663
2018-08-17,96850.67585289411
2018-08-20,96764.5209659842
2018-08-21,97119.91851070322
2018-08-22,97496.84614093414
2018-08-23,97356.84444970552
2018-08-24,98261.49667090652
2018-08-27,99263.04723123436
2018-08-28,99408.45519343388
2018-08-29,100555.42235217686
2018-08-30,100377.72357981734
2018-08-31,100506.94727396661
2018-09-04,100318.3838685983
2018-09-05,99136.92499084432
2018-09-06,98752.42733663175
2018-09-07,98456.28126315105
2018-09-10,98730.99255634072
2018-09-11,99241.92245551564
2018-09-12,99255.49922827314
2018-09-13,100097.08810745493
2018-09-14,100041.48183756406
2018-09-17,98934.9484805065
2018-09-18,99423.26077063191
2018-09-19,99109.3007166054
2018-09-20,100032.89446199306
2018-09-21,99768.43261313881
2018-09-24,100058.2474277983
2018-09-25,100117.84346410258
2018-09-26,99634.6838261191
2018-09-27,99854.91082228333
2018-09-28,100337.67429387747
2018-10-01,100249.75162950436
2018-10-02,100377.84913734959
2018-10-03,100649.8943059768
2018-10-04,99244.70596568007
2018-10-05,98261.4172633457
2018-10-08,97013.30421144766
2018-10-09,97225.6453624111
2018-10-10,93688.31788303991
2018-10-11,93175.15138484203
2018-10-12,95315.91750645117
2018-10-15,94380.9306820325
2018-10-16,96639.24017393946
2018-10-17,96368.48839801807
2018-10-18,94861.06170411999
2018-10-19,94663.4775355967
2018-10-22,95211.34449988088
