,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,96857.24078633083
2018-03-02,98502.05740619825
2018-03-05,99385.66773444464
2018-03-06,100881.42367331748
2018-03-07,101206.13566520237
2018-03-08,101296.61510247922
2018-03-09,103399.20248686775
2018-03-12,104495.7424991478
2018-03-13,102882.88348586563
2018-03-14,102872.20894551274
2018-03-15,102792.39084569408
2018-03-16,102749.79170599267
2018-03-19,100790.94423604061
2018-03-20,101530.8410556399
2018-03-21,101722.47447054651
2018-03-22,99042.39907407988
2018-03-23,95746.32282173874
2018-03-26,99741.069855025
2018-03-27,96071.65534967382
2018-03-28,93991.59210361804
2018-03-29,96028.9769926043
2018-04-02,92175.02789686901
2018-04-03,93920.92275908017
2018-04-04,95129.18944503585
2018-04-05,94155.1089650649
2018-04-06,91307.4070720634
2018-04-09,91882.26549222875
2018-04-10,94820.47686865504
2018-04-11,94857.7268773378
2018-04-12,96646.19506040288
2018-04-13,95932.93052378767
2018-04-16,96103.25674849152
2018-04-17,97923.66480458349
2018-04-18,96960.21777243956
2018-04-19,92765.8562535478
2018-04-20,91669.38571144389
2018-04-23,90450.45922463064
2018-04-24,89721.21157498671
2018-04-25,89609.42201939259
2018-04-26,91440.48987634212
2018-04-27,90801.76488663828
2018-04-30,89806.3845697251
2018-05-01,89587.12529153698
2018-05-02,89619.41897870906
2018-05-03,89684.10430175556
2018-05-04,89651.75184536207
2018-05-07,89651.75184536207
2018-05-08,89662.53599749324
2018-05-09,89619.41897870906
2018-05-10,89619.41897870906
2018-05-11,89619.41897870906
2018-05-14,89619.41897870906
2018-05-15,89565.51780779372
2018-05-16,89565.51780779372
2018-05-17,89587.12529153698
2018-05-18,89630.19333596999
2018-05-21,89630.19333596999
2018-05-22,89630.19333596999
2018-05-23,89705.68240088814
2018-05-24,89759.51500771182
2018-05-25,89834.91591879784
2018-05-29,90093.6376212434
2018-05-30,89985.83527941271
2018-05-31,89942.75744010948
2018-06-01,91291.16637245807
2018-06-04,92023.17767739455
2018-06-05,92344.20983035685
2018-06-06,92947.78287432047
2018-06-07,92202.96584296861
2018-06-08,92048.8314632052
2018-06-11,92151.58418863248
2018-06-12,92601.0651858126
2018-06-13,92125.91981957685
2018-06-14,92780.84276814168
2018-06-15,92426.42047729464
2018-06-18,92529.51186656099
2018-06-19,92052.72609735468
2018-06-20,92246.02906675721
2018-06-21,91537.21623479803
2018-06-22,91240.83245937411
2018-06-25,89346.39985975949
2018-06-26,89707.24618030418
2018-06-27,88482.96581876824
2018-06-28,89565.48361391234
2018-06-29,89526.82302003184
2018-07-02,89946.5688780288
2018-07-03,88905.50694524833
2018-07-05,90008.99719735562
2018-07-06,91409.20980220874
2018-07-09,92231.6557416472
2018-07-10,92299.33511912549
2018-07-11,91830.83888319314
2018-07-12,93413.24400489418
2018-07-13,93491.3336677697
2018-07-16,93267.49166106868
2018-07-17,93834.86473761442
2018-07-18,93657.88988586135
2018-07-19,93189.41034645731
2018-07-20,93168.58977566284
2018-07-23,93465.30378014452
2018-07-24,93850.4759915782
2018-07-25,95162.21369295103
2018-07-26,93720.3682947731
2018-07-27,92455.47270355576
2018-07-30,91148.96936380609
2018-07-31,91846.46683368523
2018-08-01,92010.99268054387
2018-08-02,93262.97152221648
2018-08-03,93548.69487431385
2018-08-06,94099.34594408756
2018-08-07,94442.19896975266
2018-08-08,94556.50830639394
2018-08-09,94499.3369749047
2018-08-10,93777.23023175338
2018-08-13,93673.36870182843
2018-08-14,94260.37047391744
2018-08-15,93107.13756940755
2018-08-16,93413.61489800445
2018-08-17,93434.39386925688
2018-08-20,93351.27798424715
2018-08-21,93694.13934149656
2018-08-22,94057.7713384141
2018-08-23,93922.7080252733
2018-08-24,94795.44981262829
2018-08-27,95761.6719758663
2018-08-28,95901.95086078095
2018-08-29,97008.46024051793
2018-08-30,96837.02956189323
2018-08-31,96961.69505782351
2018-09-04,96353.19135602795
2018-09-05,95108.94406644686
2018-09-06,94258.67515881531
2018-09-07,93895.78632922973
2018-09-10,94212.01172798713
2018-09-11,94937.839276785
2018-09-12,94657.89195156704
2018-09-13,95668.84703182057
2018-09-14,95388.89139166482
2018-09-17,94015.03085195014
2018-09-18,94792.66877806275
2018-09-19,94720.07937123274
2018-09-20,95767.37904452797
2018-09-21,95243.72089294258
2018-09-24,95508.62649571433
2018-09-25,95638.43930435466
2018-09-26,95705.95659913814
2018-09-27,96516.20571122869
2018-09-28,96495.43499665121
2018-10-01,96762.83821611392
2018-10-02,96775.65559059827
2018-10-03,97069.66000336233
2018-10-04,95318.24163800546
2018-10-05,94116.557848492
2018-10-08,93055.46757811838
2018-10-09,93387.86133535844
2018-10-10,88862.29228925856
2018-10-11,87737.28255706867
2018-10-12,90549.79119279915
2018-10-15,89066.83665970323
2018-10-16,91751.516834964
2018-10-17,91329.631645916
2018-10-18,89539.83439924598
2018-10-19,89501.4764442585
2018-10-22,90242.9589423879
2018-10-23,89897.8001264777
