,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100180.94538751298
2018-01-09,100555.45055494335
2018-01-10,100452.45004624457
2018-01-11,101135.87032335791
2018-01-12,102100.15965599706
2018-01-16,101671.89821331583
2018-01-17,103363.00492782344
2018-01-18,103250.90372934213
2018-01-19,103858.20087803184
2018-01-22,104284.74897029568
2018-01-23,104415.31934175934
2018-01-24,104182.17529021435
2018-01-25,104415.31934175934
2018-01-26,105888.58067217607
2018-01-29,104876.69755043845
2018-01-30,103266.7853560129
2018-01-31,103862.34978858983
2018-02-01,103760.02790518102
2018-02-02,101368.39932391625
2018-02-05,96838.01196884883
2018-02-06,99187.68736271665
2018-02-07,98853.3643743781
2018-02-08,94674.09321694681
2018-02-09,96559.41207638003
2018-02-12,98053.37366955966
2018-02-13,98479.75643022057
2018-02-14,100287.10755166413
2018-02-15,101529.13206647
2018-02-16,101427.15643029661
2018-02-20,101206.01490266746
2018-02-21,100725.01445632492
2018-02-22,100891.52416446316
2018-02-23,102473.30041198434
2018-02-26,103468.6570692436
2018-02-27,102499.31306034769
2018-02-28,101530.02327918708
2018-03-01,99711.37997370465
2018-03-02,100034.48431424418
2018-03-05,101023.12336705794
2018-03-06,101317.94259980506
2018-03-07,101557.50593722677
2018-03-08,101999.7231893357
2018-03-09,103998.99389590943
2018-03-12,103726.8299952357
2018-03-13,102945.28709880477
2018-03-14,102393.60068262536
2018-03-15,102485.53555883204
2018-03-16,102605.04703995376
2018-03-19,101234.6670778233
2018-03-20,102005.47718121039
2018-03-21,101647.62058799162
2018-03-22,98321.16829115391
2018-03-23,95855.77569471921
2018-03-26,98914.26569639643
2018-03-27,96270.18674143356
2018-03-28,95682.59229285295
2018-03-29,97243.35762541337
2018-04-02,93988.80939584752
2018-04-03,95097.46223293223
2018-04-04,96196.94206437076
2018-04-05,97021.59220406973
2018-04-06,94483.57647045542
2018-04-09,94687.997637913
2018-04-10,96818.57288220804
2018-04-11,96123.621070417
2018-04-12,97641.56006045423
2018-04-13,96672.26643189277
2018-04-16,97214.54832396227
2018-04-17,99307.05408420712
2018-04-18,99510.378566915
2018-04-19,98595.6057772813
2018-04-20,97035.15115171058
2018-04-23,96580.15918373561
2018-04-24,94833.33140641043
2018-04-25,94977.39229478929
2018-04-26,96508.14758285813
2018-04-27,96562.12990287953
2018-04-30,95685.49215186792
2018-05-01,96779.46638450565
2018-05-02,96208.69971246306
2018-05-03,96196.81232354592
2018-05-04,98022.07120172317
2018-05-07,98639.11098357562
2018-05-08,98538.21284138932
2018-05-09,99612.17724442975
2018-05-10,100644.61891485401
2018-05-11,100549.6716649857
2018-05-14,100366.84342015948
2018-05-15,99725.54033689947
2018-05-16,100141.02640544919
2018-05-17,99888.08140839114
2018-05-18,99725.54033689947
2018-05-21,100508.83735562213
2018-05-22,100112.20797918378
2018-05-23,100535.88849926667
2018-05-24,100481.7862119776
2018-05-25,100193.33122753033
2018-05-29,98724.67285716168
2018-05-30,100065.1219448248
2018-05-31,99066.5532293552
2018-06-01,100640.88677701933
2018-06-04,101346.86848100927
2018-06-05,101660.83580312558
2018-06-06,102253.9121871042
2018-06-07,101422.45389895416
2018-06-08,101428.25737874444
2018-06-11,101498.33505470284
2018-06-12,102032.20503285468
2018-06-13,102026.3851683106
2018-06-14,103059.3178578219
2018-06-15,102699.54950057396
2018-06-18,102435.13764635798
2018-06-19,102144.97714212717
2018-06-20,102870.4295970959
2018-06-21,101976.65929020385
2018-06-22,101750.3149222771
2018-06-25,99259.13169656321
2018-06-26,99664.5986436596
2018-06-27,98309.23656562157
2018-06-28,99154.88522294894
2018-06-29,99421.31661750704
2018-07-02,99887.45273670639
2018-07-03,98731.33276566438
2018-07-05,99956.78062629655
2018-07-06,101511.74455803105
2018-07-09,102220.44159400467
2018-07-10,102295.4507196352
2018-07-11,101776.21584591376
2018-07-12,103529.99711569806
2018-07-13,103616.54397164329
2018-07-16,103161.92925001336
2018-07-17,103789.49304677198
2018-07-18,103593.74352236185
2018-07-19,103075.56454876292
2018-07-20,103052.53519294997
2018-07-23,103174.17169974606
2018-07-24,103599.35433190128
2018-07-25,105047.35102535687
2018-07-26,103455.73147607443
2018-07-27,102059.44269689826
2018-07-30,100416.19067853951
2018-07-31,101184.60352425836
2018-08-01,101568.79155303411
2018-08-02,102950.82183326542
2018-08-03,103266.22518612098
2018-08-06,103666.53546386061
2018-08-07,104044.24675385322
2018-08-08,104170.17805318249
2018-08-09,104107.1940461856
2018-08-10,103311.66987387021
2018-08-13,102991.06031293551
2018-08-14,103636.4511614856
2018-08-15,102368.50615994194
2018-08-16,102705.46879373536
2018-08-17,102728.31464961903
2018-08-20,102431.86243242586
2018-08-21,102808.07503644712
2018-08-22,103207.07870826154
2018-08-23,103058.87734444476
2018-08-24,104016.51358287377
2018-08-27,104866.77983623365
2018-08-28,105020.39656656524
2018-08-29,106232.11387597947
2018-08-30,106044.38341073609
2018-08-31,106180.90221669627
2018-09-04,105514.5414231858
2018-09-05,104151.9899567576
2018-09-06,103220.87669924616
2018-09-07,102823.48406593071
2018-09-10,102838.70965068082
2018-09-11,103448.76900362142
2018-09-12,103344.93734950859
2018-09-13,104065.2936424302
2018-09-14,103948.48957007054
2018-09-17,102246.64944374381
2018-09-18,103092.37455498274
2018-09-19,103013.4294802833
2018-09-20,104152.42695321498
2018-09-21,103582.91917378525
2018-09-24,103663.48445672
2018-09-25,103804.38113343407
2018-09-26,103877.66328914238
2018-09-27,104757.09428212226
2018-09-28,104734.55009185632
2018-10-01,104739.068174793
2018-10-02,104502.7730908557
2018-10-03,104615.2868392279
2018-10-04,102606.83717037842
2018-10-05,101352.21700601278
2018-10-08,100532.08991722885
2018-10-09,100857.75662407481
2018-10-10,96422.1185480742
2018-10-11,95226.1585790113
2018-10-12,97876.32871000722
2018-10-15,96498.44171969967
2018-10-16,99305.76202117503
2018-10-17,99345.0187178774
