,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,97579.92791178265
2018-03-02,99535.65040773146
2018-03-05,100487.71085829183
2018-03-06,100849.03228190658
2018-03-07,102500.7905115688
2018-03-08,103223.42233281651
2018-03-09,104542.54874350986
2018-03-12,104376.21078206183
2018-03-13,103275.04597960821
2018-03-14,103309.46909479055
2018-03-15,103200.46623870707
2018-03-16,102907.991045457
2018-03-19,101726.501965584
2018-03-20,101749.46908567523
2018-03-21,101376.66961500575
2018-03-22,98960.17133959828
2018-03-23,96562.60467494291
2018-03-26,100290.88605716436
2018-03-27,96700.26405772686
2018-03-28,95558.82134375464
2018-03-29,97336.91527289132
2018-04-02,94938.57544568393
2018-04-03,95825.85709659262
2018-04-04,97606.1204454772
2018-04-05,97777.8701262206
2018-04-06,95636.95225488824
2018-04-09,96323.85194229503
2018-04-10,98338.8625963628
2018-04-11,97961.05291295404
2018-04-12,99443.67036778247
2018-04-13,98459.05876260833
2018-04-16,99581.03269894085
2018-04-17,101824.96956765403
2018-04-18,102265.75486759882
2018-04-19,101378.47321669014
2018-04-20,100084.77160751795
2018-04-23,99981.73060223341
2018-04-24,98275.8759758749
2018-04-25,97611.84250044815
2018-04-26,99787.0927016062
2018-04-27,99558.13347510519
2018-04-30,99426.47119101403
2018-05-01,100101.90451873012
2018-05-02,99553.46513921746
2018-05-03,100084.77265184907
2018-05-04,101621.52307501138
2018-05-07,102695.57032682793
2018-05-08,103209.7240086466
2018-05-09,104895.0384671723
2018-05-10,105837.67551443841
2018-05-11,104717.94328427239
2018-05-14,103529.66162265025
2018-05-15,103078.32478606212
2018-05-16,103192.58115979959
2018-05-17,102981.21126117164
2018-05-18,103666.76048556248
2018-05-21,103763.89597438485
2018-05-22,103118.33208801576
2018-05-23,104455.14483910342
2018-05-24,104403.72727452837
2018-05-25,104169.50390475972
2018-05-29,103478.2660220071
2018-05-30,104609.40851479454
2018-05-31,104517.9946302318
2018-06-01,106013.92247486342
2018-06-04,106806.41988732577
2018-06-05,107621.73606967177
2018-06-06,108323.03512276727
2018-06-07,106487.14342936206
2018-06-08,107256.85495201264
2018-06-11,107553.32360011667
2018-06-12,108653.71000564884
2018-06-13,109064.21770305131
2018-06-14,109657.1769193073
2018-06-15,109372.10669612113
2018-06-18,110039.17759439115
2018-06-19,109235.27079698697
2018-06-20,108841.87169698527
2018-06-21,107678.77203435692
2018-06-22,105837.17016846883
2018-06-25,103721.90746433637
2018-06-26,104262.53256618584
2018-06-27,101913.01030994338
2018-06-28,103760.69498912898
2018-06-29,104176.98957918206
2018-07-02,104665.42263644213
2018-07-03,103454.00136107433
2018-07-05,104738.06672401911
2018-07-06,106367.41007636598
2018-07-09,107324.44104398058
2018-07-10,107403.19547270304
2018-07-11,106858.03452716509
2018-07-12,108699.3843742004
2018-07-13,108790.25262710158
2018-07-16,108529.78112132441
2018-07-17,109189.99911062565
2018-07-18,108984.06409958734
2018-07-19,108438.92258279705
2018-07-20,108414.69493443961
2018-07-23,108759.96320946785
2018-07-24,109208.16498970681
2018-07-25,110734.55540809529
2018-07-26,109056.76647340736
2018-07-27,107584.88340663623
2018-07-30,106064.58390064555
2018-07-31,106876.21983499393
2018-08-01,107067.66868636067
2018-08-02,108524.52130708976
2018-08-03,108857.00041971634
2018-08-06,109497.76001357287
2018-08-07,109896.71749778866
2018-08-08,110029.73241075409
2018-08-09,109963.20556434238
2018-08-10,109122.93329600219
2018-08-13,109002.07586852208
2018-08-14,109685.1345925002
2018-08-15,108343.18669104709
2018-08-16,108699.81596024778
2018-08-17,108723.9952017154
2018-08-20,108627.2782358449
2018-08-21,109026.2454150252
2018-08-22,109449.38214070862
2018-08-23,109292.21707116907
2018-08-24,110307.77429770277
2018-08-27,111432.10902594727
2018-08-28,111595.34314326498
2018-08-29,112882.9216837917
2018-08-30,112683.43809420156
2018-08-31,112828.50384804279
2018-09-04,112764.10346257042
2018-09-05,111009.50920095648
2018-09-06,110415.40485370214
2018-09-07,110076.72024796523
2018-09-10,110482.04749347985
2018-09-11,111181.64599095906
2018-09-12,110965.09584718414
2018-09-13,112247.72926715342
2018-09-14,112353.22341737829
2018-09-17,110654.16619618706
2018-09-18,111381.54677934914
2018-09-19,110831.86482951483
2018-09-20,112031.17007973083
2018-09-21,111853.5076209938
2018-09-24,112265.14733259132
2018-09-25,112304.13449775372
2018-09-26,111774.9454535696
2018-09-27,112331.97988897038
2018-09-28,112833.33258558554
2018-10-01,112813.53916678308
2018-10-02,112669.0396556851
2018-10-03,113163.79478996732
2018-10-04,111173.58253555167
2018-10-05,109711.511030131
2018-10-08,108271.65147329324
2018-10-09,108555.15391820885
2018-10-10,103512.93328295031
2018-10-11,102067.56812325373
2018-10-12,105214.09236169925
2018-10-15,103707.56988237743
2018-10-16,106931.93973501533
2018-10-17,106553.84922786945
2018-10-18,104402.44916778865
2018-10-19,104102.24037714899
2018-10-22,104947.26016019388
