,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,98788.14450470485
2018-02-02,97842.97514808553
2018-02-05,94544.18102962068
2018-02-06,96962.65129720415
2018-02-07,96666.15128737301
2018-02-08,92811.39095100039
2018-02-09,93432.22563422562
2018-02-12,94701.70670465952
2018-02-13,95192.80445724983
2018-02-14,96712.46841244394
2018-02-15,97574.22561669246
2018-02-16,97101.66389796231
2018-02-20,96805.14092855166
2018-02-21,96666.15128737301
2018-02-22,96786.62785427099
2018-02-23,98139.49811749617
2018-02-26,98964.17560083116
2018-02-27,96870.03235344862
2018-02-28,96434.48913008664
2018-03-01,95206.06747924295
2018-03-02,95298.57011128248
2018-03-05,96436.00648840463
2018-03-06,97101.88642927146
2018-03-07,96445.27126362253
2018-03-08,96750.45891686367
2018-03-09,98248.59521951359
2018-03-12,98572.25131997392
2018-03-13,97878.6763461804
2018-03-14,97758.46340541
2018-03-15,97656.73418766295
2018-03-16,97554.6918159308
2018-03-19,96339.68490532723
2018-03-20,96914.71963890496
2018-03-21,96840.54797184726
2018-03-22,94781.46886494938
2018-03-23,92917.17153678753
2018-03-26,95662.61543791942
2018-03-27,93789.03042083344
2018-03-28,92648.21045309173
2018-03-29,93946.69963338335
2018-04-02,90176.31896872964
2018-04-03,91884.35611906032
2018-04-04,93066.4229386542
2018-04-05,92113.4642678811
2018-04-06,89327.51149856407
2018-04-09,89889.90477840869
2018-04-10,92764.40443762894
2018-04-11,92800.8467229334
2018-04-12,94550.5340408689
2018-04-13,93852.73582121595
2018-04-16,94019.36871862953
2018-04-17,95800.30333036694
2018-04-18,94857.7475333967
2018-04-19,90754.33589547522
2018-04-20,89681.64104958696
2018-04-23,88489.14557459467
2018-04-24,87775.71081724299
2018-04-25,87666.34528893625
2018-04-26,89457.70855607207
2018-04-27,88832.83357942138
2018-04-30,87859.03693404811
2018-05-01,87148.89808243797
2018-05-02,87505.2870717066
2018-05-03,87303.33245536301
2018-05-04,87731.00822794467
2018-05-07,87849.79600012056
2018-05-08,88538.80102057807
2018-05-09,90344.53817955656
2018-05-10,91021.65030278897
2018-05-11,91152.35022674565
2018-05-14,91781.9613611152
2018-05-15,91805.71506463925
2018-05-16,92126.47028952918
2018-05-17,93516.41173678065
2018-05-18,92791.71518827742
2018-05-21,93742.08796572214
2018-05-22,92494.73933965244
2018-05-23,92482.85286061258
2018-05-24,90962.2756712567
2018-05-25,88598.22057940693
2018-05-29,88324.99843430599
2018-05-30,90997.87092652403
2018-05-31,90308.86590606652
2018-06-01,90555.24988708246
2018-06-04,89772.7644989163
2018-06-05,89559.36987455371
2018-06-06,89986.17193400222
2018-06-07,91349.61722116466
2018-06-08,91171.78516484835
2018-06-11,91646.02533289745
2018-06-12,90946.50218920807
2018-06-13,90602.66237423634
2018-06-14,90472.24280507393
2018-06-15,88529.06744835772
2018-06-18,89412.37322936396
2018-06-19,89209.4385606245
2018-06-20,89603.31065567715
2018-06-21,87944.21949482181
2018-06-22,89698.81459832299
2018-06-25,87896.48033422226
2018-06-26,89006.52951333177
2018-06-27,90200.11741946926
2018-06-28,90080.77912601287
2018-06-29,90641.74148584482
2018-07-02,89126.49187202612
2018-07-03,89686.3334279423
2018-07-05,89591.05226518346
2018-07-06,90139.01643764404
2018-07-09,91485.0794097098
2018-07-10,92164.07835400739
2018-07-11,90210.51087067288
2018-07-12,90365.37072762242
2018-07-13,90841.81489679913
2018-07-16,89793.5686849218
2018-07-17,89436.2243710527
2018-07-18,89495.75831729712
2018-07-19,89519.59618753714
2018-07-20,89209.87647363807
2018-07-23,88816.78494325455
2018-07-24,89936.5128030332
2018-07-25,90686.9678249771
2018-07-26,91675.69287573751
2018-07-27,91282.58216766272
2018-07-30,92033.06275986164
2018-07-31,91866.27437894644
2018-08-01,92030.83570733496
2018-08-02,93283.08454989521
2018-08-03,93568.8695208923
2018-08-06,94119.63934369336
2018-08-07,94462.5663088039
2018-08-08,94576.90029731735
2018-08-09,94519.71663629844
2018-08-10,93797.45416410832
2018-08-13,93693.57023547795
2018-08-14,94280.69859996153
2018-08-15,93127.21699004424
2018-08-16,93433.760413329
2018-08-17,93454.54386575994
2018-08-20,93371.41005603617
2018-08-21,93714.3453545278
2018-08-22,94078.0557720693
2018-08-23,93942.96333126817
2018-08-24,94815.893333511
2018-08-27,95782.32387154982
2018-08-28,95922.63300891139
2018-08-29,97029.38101769287
2018-08-30,96857.91336844706
2018-08-31,96982.60574965163
2018-09-04,96927.24990444069
2018-09-05,95419.0749511161
2018-09-06,94908.40800332495
2018-09-07,94617.28905313576
2018-09-10,94965.69119541958
2018-09-11,95567.03644905738
2018-09-12,95380.89911228088
2018-09-13,96483.39650476372
2018-09-14,96574.07481061037
2018-09-17,95113.63714628742
2018-09-18,95738.86270473113
2018-09-19,95266.37936931192
2018-09-20,96297.25139445049
2018-09-21,96144.54026557288
2018-09-24,96498.36833648774
2018-09-25,96531.88005329056
2018-09-26,96077.0115520804
2018-09-27,96555.81477285351
2018-09-28,96986.75632803743
2018-10-01,96969.74274311264
2018-10-02,96845.53708020048
2018-10-03,97270.80765008529
2018-10-04,95560.10544412436
2018-10-05,94303.37066920454
2018-10-08,93065.72834502967
2018-10-09,93309.41504570011
2018-10-10,88975.33563053183
2018-10-11,87732.96092319791
2018-10-12,90437.57996263738
2018-10-15,89142.63701221209
2018-10-16,91914.16884631845
2018-10-17,91589.17825137447
2018-10-18,89739.92583092583
2018-10-19,89481.87906266948
2018-10-22,90208.22229753212
