,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99438.83043730444
2018-02-02,97047.03213442172
2018-02-05,93235.93193370022
2018-02-06,95649.92402106509
2018-02-07,94495.02190222905
2018-02-08,90556.39870681509
2018-02-09,92431.69703130901
2018-02-12,94077.33561478215
2018-02-13,94465.74191435796
2018-02-14,96314.39752767843
2018-02-15,98138.08992246776
2018-02-16,97795.85305102856
2018-02-20,98014.3718041614
2018-02-21,97630.54266187799
2018-02-22,97641.52484702841
2018-02-23,99633.27993354097
2018-02-26,101037.94552733394
2018-02-27,99950.59398991591
2018-02-28,99302.25781780905
2018-03-01,97541.65820729526
2018-03-02,98914.70795929681
2018-03-05,99865.37852883522
2018-03-06,100786.16598358366
2018-03-07,101265.40238070376
2018-03-08,101506.5539071405
2018-03-09,103562.77398587785
2018-03-12,104296.50588260227
2018-03-13,102858.51951284398
2018-03-14,102864.31180258255
2018-03-15,102835.31197361535
2018-03-16,102754.50587585804
2018-03-19,100765.80031168248
2018-03-20,101188.74495320322
2018-03-21,101066.84606992092
2018-03-22,98378.98877398562
2018-03-23,95425.7791046213
2018-03-26,99229.17207100819
2018-03-27,95718.38638672592
2018-03-28,94203.42840812498
2018-03-29,96231.69264596928
2018-04-02,96067.03357868844
2018-04-03,96020.98208750431
2018-04-04,95963.48578507321
2018-04-05,95986.51153066526
2018-04-06,96067.03357868844
2018-04-09,96055.5782964339
2018-04-10,96009.49539222715
2018-04-11,96009.49539222715
2018-04-12,95951.95720576585
2018-04-13,95928.99428621907
2018-04-16,95917.45523590417
2018-04-17,95917.45523590417
2018-04-18,95836.87036183574
2018-04-19,95836.87036183574
2018-04-20,95802.41027600423
2018-04-23,95790.89216770443
2018-04-24,95813.8760292663
2018-04-25,95802.41027600423
2018-04-26,95825.4150795812
2018-04-27,95848.37799912799
2018-04-30,95813.8760292663
2018-05-01,95039.44054412875
2018-05-02,95428.097324667
2018-05-03,95207.85754912284
2018-05-04,95674.25548477992
2018-05-07,95803.79841256773
2018-05-08,96555.1865897818
2018-05-09,98524.41687421661
2018-05-10,99262.83536020576
2018-05-11,99405.3689770996
2018-05-14,100091.98569041975
2018-05-15,100117.89007640109
2018-05-16,100467.68677832048
2018-05-17,101983.47481973573
2018-05-18,101193.1635702595
2018-05-21,102229.58398479274
2018-05-22,100869.29925149625
2018-05-23,100856.33655956504
2018-05-24,99198.08489419294
2018-05-25,96619.98605085051
2018-05-29,96322.0261180686
2018-05-30,99236.90297704961
2018-05-31,98485.51479983555
2018-06-01,100014.22247422216
2018-06-04,100833.90679006558
2018-06-05,101286.27182415966
2018-06-06,101909.41199285898
2018-06-07,100924.2868200465
2018-06-08,100847.95198044021
2018-06-11,100898.84871354984
2018-06-12,101483.27602104052
2018-06-13,101123.78014974101
2018-06-14,101753.5657629931
2018-06-15,101366.16536773363
2018-06-18,101497.8088579069
2018-06-19,100884.99022128651
2018-06-20,101130.45868588338
2018-06-21,100293.94184397273
2018-06-22,99865.8209558793
2018-06-25,97673.95185792494
2018-06-26,98129.3087700157
2018-06-27,96707.12169520496
2018-06-28,97851.25011247449
2018-06-29,97859.70499691786
2018-07-02,98427.18113736776
2018-07-03,97274.7531528509
2018-07-05,98566.72549443864
2018-07-06,99908.38325412359
2018-07-09,100737.45849644984
2018-07-10,100893.96366006995
2018-07-11,100441.08431781316
2018-07-12,102100.2327092614
2018-07-13,102086.68087832339
2018-07-16,101844.8556938862
2018-07-17,102534.52957766171
2018-07-18,102353.42801122207
2018-07-19,101914.64292295
2018-07-20,101917.31994585274
2018-07-23,102339.55245514715
2018-07-24,102831.23537981344
2018-07-25,104194.8541656594
2018-07-26,102605.49027810313
2018-07-27,101035.52391879781
2018-07-30,99534.20325571112
2018-07-31,100048.9498634238
2018-08-01,100612.52149512214
2018-08-02,102023.86054431695
2018-08-03,102310.87203476942
2018-08-06,102913.85525384026
2018-08-07,103307.09582178917
2018-08-08,103468.56659266066
2018-08-09,103485.70387762492
2018-08-10,102751.82821264783
2018-08-13,102598.69491981168
2018-08-14,103256.3163390886
2018-08-15,102169.61881967023
2018-08-16,102653.00450366616
2018-08-17,102846.67974338462
2018-08-20,102753.13457266358
2018-08-21,103052.52310270231
2018-08-22,103516.0760671671
2018-08-23,103608.77498994608
2018-08-24,104684.84763140802
2018-08-27,105618.73568814943
2018-08-28,105949.89759086218
2018-08-29,107067.46879949636
2018-08-30,106842.70281488556
2018-08-31,107197.55346122492
2018-09-04,106830.58978660201
2018-09-05,105309.2773154313
2018-09-06,104557.03597465047
2018-09-07,104195.54628939787
2018-09-10,104562.89957073105
2018-09-11,105296.46646209084
2018-09-12,105038.84496930047
2018-09-13,106206.99416519822
2018-09-14,106102.35406472257
2018-09-17,104535.77626441726
2018-09-18,105311.18083192778
2018-09-19,105009.93019987557
2018-09-20,106158.58532031268
2018-09-21,105784.71808118722
2018-09-24,106126.70136611749
2018-09-25,106216.98039318807
2018-09-26,106002.91344549524
2018-09-27,106715.4225947322
2018-09-28,106942.1067000611
2018-10-01,107080.90296636935
2018-10-02,107019.52799384433
2018-10-03,107416.90632589097
2018-10-04,105503.24228449761
2018-10-05,104144.48567765871
2018-10-08,102874.16232480673
2018-10-09,103192.70195115099
2018-10-10,98295.46786252336
2018-10-11,96987.11572030702
2018-10-12,100036.73158580769
2018-10-15,98501.04925583683
2018-10-16,101516.72206543456
2018-10-17,101103.76778985182
2018-10-18,99092.45088982908
2018-10-19,98928.92839916352
2018-10-22,99740.25629770142
