,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,96857.24078633083
2018-03-02,98502.05740619825
2018-03-05,99385.66773444464
2018-03-06,100881.42367331748
2018-03-07,101206.13566520237
2018-03-08,101296.61510247922
2018-03-09,103399.20248686775
2018-03-12,104495.7424991478
2018-03-13,102882.88348586563
2018-03-14,102872.20894551274
2018-03-15,102792.39084569408
2018-03-16,102749.79170599267
2018-03-19,100790.94423604061
2018-03-20,101530.8410556399
2018-03-21,101722.47447054651
2018-03-22,99042.39907407988
2018-03-23,95746.32282173874
2018-03-26,99741.069855025
2018-03-27,96071.65534967382
2018-03-28,93991.59210361804
2018-03-29,96028.9769926043
2018-04-02,96957.07806420473
2018-04-03,96225.6722445259
2018-04-04,96339.94986268137
2018-04-05,95844.73135014961
2018-04-06,96294.23881541917
2018-04-09,96621.84821709064
2018-04-10,96850.41507879511
2018-04-11,97604.67642210504
2018-04-12,96469.47418441884
2018-04-13,97101.83165143392
2018-04-16,97238.97060591725
2018-04-17,97330.39851313838
2018-04-18,97406.5855294743
2018-04-19,97216.11508228615
2018-04-20,96477.0888171647
2018-04-23,95707.59239566629
2018-04-24,96172.34075182107
2018-04-25,95547.59791755186
2018-04-26,95212.36807043778
2018-04-27,95616.16448844515
2018-04-30,94922.84927058588
2018-05-01,94691.09831530196
2018-05-02,94725.23184394263
2018-05-03,94793.60243027656
2018-05-04,94759.40678420433
2018-05-07,94759.40678420433
2018-05-08,94770.80533289508
2018-05-09,94725.23184394263
2018-05-10,94725.23184394263
2018-05-11,94725.23184394263
2018-05-14,94725.23184394263
2018-05-15,94668.25980629944
2018-05-16,94668.25980629944
2018-05-17,94691.09831530196
2018-05-18,94736.6200397281
2018-05-21,94736.6200397281
2018-05-22,94736.6200397281
2018-05-23,94816.40988056331
2018-05-24,94873.30944786969
2018-05-25,94953.00611255754
2018-05-29,95226.46775208277
2018-05-30,95112.52367679638
2018-05-31,95066.99159946498
2018-06-01,96492.22231611922
2018-06-04,97265.93789431291
2018-06-05,97605.25994599836
2018-06-06,98243.2198566489
2018-06-07,97455.96898200437
2018-06-08,97293.05323199622
2018-06-11,97401.66000326985
2018-06-12,97876.74890869389
2018-06-13,97374.53347939113
2018-06-14,98066.76881018993
2018-06-15,97692.1543119736
2018-06-18,97801.11904150047
2018-06-19,97297.16975190854
2018-06-20,97501.48561114355
2018-06-21,96752.29017329714
2018-06-22,96439.02077073068
2018-06-25,94436.65823305512
2018-06-26,94818.06275188769
2018-06-27,93524.03248021152
2018-06-28,94668.2236643184
2018-06-29,94627.3604924714
2018-07-02,95071.02018327729
2018-07-03,93970.64669201463
2018-07-05,95137.00517948963
2018-07-06,96616.99093633807
2018-07-09,97486.29340649719
2018-07-10,97557.82862504404
2018-07-11,97062.6411414335
2018-07-12,98735.19931835923
2018-07-13,98817.7379188634
2018-07-16,98581.14314707399
2018-07-17,99180.84069957178
2018-07-18,98993.78320629749
2018-07-19,98498.61337045272
2018-07-20,98476.60660653809
2018-07-23,98790.22505202868
2018-07-24,99197.34136056631
2018-07-25,100583.81160660194
2018-07-26,99059.82114580713
2018-07-27,97722.86170663795
2018-07-30,96341.92403517106
2018-07-31,97079.1594501938
2018-08-01,97253.05869173774
2018-08-02,98576.36548609803
2018-08-03,98878.36711787699
2018-08-06,99460.38997457305
2018-08-07,99822.77608145284
2018-08-08,99943.59786917102
2018-08-09,99883.16936280644
2018-08-10,99119.92263078585
2018-08-13,99010.1438840151
2018-08-14,99630.58842145564
2018-08-15,98411.65333467814
2018-08-16,98735.5913420552
2018-08-17,98757.55413641155
2018-08-20,98669.70295898615
2018-08-21,99032.0978721187
2018-08-22,99416.44677335485
2018-08-23,99273.68861003856
2018-08-24,100196.15239176356
2018-08-27,101217.42232933392
2018-08-28,101365.69320687116
2018-08-29,102535.2428282315
2018-08-30,102354.04537166521
2018-08-31,102485.81333155058
2018-09-04,101842.64185278687
2018-09-05,100527.50709382612
2018-09-06,99628.79652057159
2018-09-07,99245.23312652372
2018-09-10,99579.47457278165
2018-09-11,100346.65409282442
2018-09-12,100050.7575607161
2018-09-13,101119.30894670062
2018-09-14,100823.40362593444
2018-09-17,99371.27126858638
2018-09-18,100193.21291562116
2018-09-19,100116.48793269061
2018-09-20,101223.45454208745
2018-09-21,100669.9624487312
2018-09-24,100949.96029880959
2018-09-25,101087.16882498504
2018-09-26,101158.53272663408
2018-09-27,102014.94348971166
2018-09-28,101992.98942243095
2018-10-01,102275.62718384559
2018-10-02,102289.17479198116
2018-10-03,102599.92927443137
2018-10-04,100748.72880242673
2018-10-05,99478.5824785389
2018-10-08,98357.03959180838
2018-10-09,98708.37054303363
2018-10-10,93924.97000325302
2018-10-11,92735.8660241958
2018-10-12,95708.60938293095
2018-10-15,94141.16771055291
2018-10-16,96978.79994390658
2018-10-17,96532.87903971515
2018-10-18,94641.11315820742
2018-10-19,94600.56986724822
2018-10-22,95384.29623307323
