,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100288.79378798086
2018-01-09,100294.9617980073
2018-01-10,100060.5078903201
2018-01-11,100745.38544806896
2018-01-12,101485.71550175584
2018-01-16,100993.57010667128
2018-01-17,102083.40413816767
2018-01-18,102101.92075984975
2018-01-19,102422.06601170512
2018-01-22,103311.24623282092
2018-01-23,104165.41448706621
2018-01-24,103489.46381965747
2018-01-25,103452.63317431789
2018-01-26,105038.07225947955
2018-01-29,104319.15578200616
2018-01-30,103460.563044883
2018-01-31,103889.85941344459
2018-02-01,103006.73235232817
2018-02-02,100952.24681976951
2018-02-05,96778.25910811852
2018-02-06,99342.82131290028
2018-02-07,98057.51526546311
2018-02-08,93919.99148985211
2018-02-09,95541.93352265238
2018-02-12,97043.03141888409
2018-02-13,97543.94284634008
2018-02-14,99370.29940393091
2018-02-15,101215.03487469073
2018-02-16,100763.03554680807
2018-02-20,100762.85663702516
2018-02-21,100476.38869355747
2018-02-22,100464.16056551496
2018-02-23,102518.56458791142
2018-02-26,103670.4679340822
2018-02-27,102386.73899376989
2018-02-28,101729.64928623711
2018-03-01,100068.7321075132
2018-03-02,100987.42753413854
2018-03-05,101902.8669581836
2018-03-06,102333.98141169477
2018-03-07,102570.77423872816
2018-03-08,103135.44082415914
2018-03-09,105139.13334160374
2018-03-12,105486.56505492484
2018-03-13,104050.41429959856
2018-03-14,104032.20134162306
2018-03-15,103941.34141094082
2018-03-16,103632.26741654471
2018-03-19,101218.51416807708
2018-03-20,101551.6993325294
2018-03-21,101109.52290734471
2018-03-22,98613.88103285845
2018-03-23,96015.26456571778
2018-03-26,99384.08424322885
2018-03-27,96167.99349365864
2018-03-28,95061.71991574025
2018-03-29,96802.74684056295
2018-04-02,93822.01579673812
2018-04-03,94877.82754310097
2018-04-04,96374.05054106012
2018-04-05,96923.08583687637
2018-04-06,94497.75005361292
2018-04-09,94971.24033929274
2018-04-10,97066.58667708357
2018-04-11,96506.6289377859
2018-04-12,97668.7188283936
2018-04-13,97162.92588579928
2018-04-16,97707.96012605351
2018-04-17,99811.08638555335
2018-04-18,100015.44284033899
2018-04-19,99096.02712741429
2018-04-20,97527.65242463128
2018-04-23,97086.90525064993
2018-04-24,95029.93889868827
2018-04-25,95143.81211794411
2018-04-26,97146.91664925218
2018-04-27,97206.83165948532
2018-04-30,96324.34099389374
2018-05-01,97425.61919870123
2018-05-02,96851.04177521345
2018-05-03,96839.07501956605
2018-05-04,98676.52032741511
2018-05-07,99297.6798053809
2018-05-08,99196.10801184112
2018-05-09,100277.24279045082
2018-05-10,101316.57760790057
2018-05-11,101220.99643810074
2018-05-14,101191.62986198666
2018-05-15,100070.92916689366
2018-05-16,100732.63399556799
2018-05-17,100345.13287208792
2018-05-18,99826.54208459206
2018-05-21,100186.29531540142
2018-05-22,100055.4101965934
2018-05-23,100900.22544584882
2018-05-24,100870.4779586621
2018-05-25,100971.63471435104
2018-05-29,100324.56286880316
2018-05-30,101042.9831813096
2018-05-31,100977.69046212772
2018-06-01,102562.99043123772
2018-06-04,103282.45542275131
2018-06-05,103602.4190924404
2018-06-06,104206.82242634347
2018-06-07,103359.48441907366
2018-06-08,103365.39873741147
2018-06-11,103436.81480138842
2018-06-12,103980.88096787628
2018-06-13,103974.94995185823
2018-06-14,105027.61024672608
2018-06-15,104660.97080461112
2018-06-18,104391.50904466116
2018-06-19,104095.80687060457
2018-06-20,104835.11447788081
2018-06-21,103924.27437731021
2018-06-22,103693.60714071014
2018-06-25,101154.84571358313
2018-06-26,101568.05652627567
2018-06-27,100186.80888138291
2018-06-28,101048.60827452439
2018-06-29,101320.12814528216
2018-07-02,101795.1668285066
2018-07-03,100616.96654306934
2018-07-05,101865.81878621846
2018-07-06,103450.4804079384
2018-07-09,104172.71259057263
2018-07-10,104249.1542881835
2018-07-11,103720.00273665707
2018-07-12,105507.27883637883
2018-07-13,105595.47861921492
2018-07-16,105132.18137653724
2018-07-17,105771.73078576048
2018-07-18,105572.24271245407
2018-07-19,105044.16722730214
2018-07-20,105020.69804220727
2018-07-23,105144.65764036002
2018-07-24,105577.96068080205
2018-07-25,107053.61213590488
2018-07-26,105431.5948243434
2018-07-27,104008.63883414846
2018-07-30,102334.00294378265
2018-07-31,103117.09142667048
2018-08-01,103508.61692272882
2018-08-02,104917.04209609893
2018-08-03,105238.46922275548
2018-08-06,105646.42488074071
2018-08-07,106031.34994114001
2018-08-08,106159.68635650486
2018-08-09,106095.49944089017
2018-08-10,105284.78184205008
2018-08-13,104958.04907584182
2018-08-14,105615.76600922804
2018-08-15,104323.60498774594
2018-08-16,104667.00314819747
2018-08-17,104690.28532876472
2018-08-20,104388.17127861065
2018-08-21,104771.56903018088
2018-08-22,105178.19312785007
2018-08-23,105027.16132014438
2018-08-24,106003.0871044254
2018-08-27,106869.59228338479
2018-08-28,107026.14288371867
2018-08-29,108261.00234085131
2018-08-30,108069.68647980303
2018-08-31,108208.81260873312
2018-09-04,107529.72523304266
2018-09-05,106141.15089224846
2018-09-06,105192.25464164079
2018-09-07,104787.2723511083
2018-09-10,104930.1081775029
2018-09-11,105738.51001307211
2018-09-12,105426.71428150513
2018-09-13,106552.68138472205
2018-09-14,106240.8763922625
2018-09-17,104501.50540911232
2018-09-18,105365.88138394937
2018-09-19,105285.19532532926
2018-09-20,106449.31122767013
2018-09-21,105867.2440341104
2018-09-24,105949.58603158609
2018-09-25,106093.58991732575
2018-09-26,106168.48817201484
2018-09-27,107067.31334789889
2018-09-28,107044.2719882667
2018-10-01,107048.88970895503
2018-10-02,106807.38358502273
2018-10-03,106922.3786107579
2018-10-04,104869.63639304167
2018-10-05,103587.34796006007
2018-10-08,102749.13452352228
2018-10-09,103081.98319203299
2018-10-10,98548.52552947088
2018-10-11,97326.19093116336
2018-10-12,100034.805538938
2018-10-15,98626.53186391655
2018-10-16,101495.76229118009
2018-10-17,101535.88471988661
