,EEM,QQQ,SPY,DBC,VNQ,GLD,IEF,TLT,HYG,EFA
2018-01-31,0.2390122490614024,0.3081055329249995,0.4528822180135982,,,,,,,
2018-02-28,0.28829084661940335,0.3289787714248822,0.3827303819557145,,,,,,,
2018-03-29,0.2382173865118544,0.24436760610982178,,0.5174150073783239,,,,,,
2018-04-30,0.2563122574535997,0.24052212932987083,,0.5031656132165294,,,,,,
2018-05-31,,0.23698815673236018,0.3156917201292274,0.44732012313841246,,,,,,
2018-06-29,,0.27737406117911617,0.37825955286632584,0.344366385954558,,,,,,
2018-07-31,,0.2977416235944795,0.4366100853938206,0.2656482910116999,,,,,,
2018-08-31,,0.26365423375605407,0.42727739444704277,,0.3090683717969031,,,,,
2018-09-28,,0.2784223665473907,0.48297712028876544,0.23860051316384376,,,,,,
2018-10-31,,0.24258775529305934,0.3695087085672672,0.38790353613967354,,,,,,
2018-11-30,,,0.47030401574301706,,0.529695984256983,,,,,
2018-12-31,,,,,,0.22733460349177068,0.539158393689732,0.23350700281849723,,
2019-01-31,,,,,0.18605984843790851,0.4035470444909104,,0.4103931070711811,,
2019-02-28,,,,,0.18243605549120576,0.37242576342040595,,,0.44513818108838826,
2019-03-29,,0.25636768457225695,0.3405061964652436,,0.40312611896249945,,,,,
2019-04-30,,0.2977506349621403,0.38430352511671334,,0.31794583992114644,,,,,
2019-05-31,,,,,0.19553358711745003,,0.5360643082282924,0.2684021046542575,,
2019-06-28,,0.27568753303677834,0.3871911499067116,,0.33712131705651016,,,,,
2019-07-31,,0.24232923990623206,,,,0.31266474348051154,,0.4450060166132564,,
2019-08-30,,,,,0.3355769214574005,0.3093917502967085,,0.35503132824589095,,
2019-09-30,,,,,0.3856224612320522,0.3041650184063341,,0.3102125203616138,,
2019-10-31,,,,,0.3873858057223193,0.3327286251697459,,0.2798855691079349,,
2019-11-29,,0.31359377673975497,0.40823853803046967,,,,,0.27816768522977536,,
2019-12-31,,0.31088262835131775,0.3752510343757707,,0.3138663372729115,,,,,
2020-01-31,,0.3299769618634131,0.40080008716957455,,,,,0.2692229509670123,,
2020-02-28,,0.251844136183623,,,,0.39076787283859643,,0.3573879909777806,,
2020-03-31,,,,,,0.2735214033088051,0.5424587542566263,0.18401984243456873,,
2020-04-30,,,,,,0.2584795605251741,0.5550959139680425,0.1864245255067833,,
2020-05-29,,0.20787883692012493,,,,0.4683669425358861,,0.32375422054398906,,
2020-06-30,,0.21175830007780289,,,,0.39203132434802906,,0.3962103755741681,,
2020-07-31,,0.23666273998394155,,,,0.39099277768761437,,0.3723444823284441,,
2020-08-31,,0.3080601245974986,0.35315910776465226,,,0.33878076763784915,,,,
2020-09-30,0.34055526730574176,0.2577955551205429,0.4016491775737153,,,,,,,
2020-10-30,0.4063793363849695,0.2459431813491421,,,,0.3476774822658884,,,,
2020-11-30,0.4074412374847271,0.2453078225084721,0.34725094000680085,,,,,,,
2020-12-31,0.36311782748671817,0.26891219853702253,0.3679699739762593,,,,,,,
2021-01-29,0.3245318429928943,0.3030696762547882,,,,,,,,0.37239848075231763
2021-02-26,0.2848064791218389,0.31516195235432287,,0.40003156852383825,,,,,,
2021-03-31,0.32475752699048915,0.3143349220646425,,0.3609075509448683,,,,,,
2021-04-30,,0.26580687662638125,0.43996233449956096,0.29423078887405785,,,,,,
2021-05-28,,,0.3941824854068352,0.24449939761943687,0.3613181169737279,,,,,
2021-06-30,,0.3141273448830824,,0.3214793340990023,0.36439332101791533,,,,,
2021-07-30,,0.36164150671594925,,0.2818950698362633,0.3564634234477874,,,,,
2021-08-31,,0.3316640298426524,0.3778167784639387,,0.2905191916934089,,,,,
2021-09-30,,0.39890819669043875,,0.23843502676635206,0.36265677654320916,,,,,
2021-10-29,,0.35912989413347346,,0.26858097840777834,0.3722891274587483,,,,,
2021-11-30,,0.33755459051448145,0.4105482043440757,0.251897205141443,,,,,,
2021-12-31,,0.28314888371072255,0.3792701513988026,,0.33758096489047473,,,,,
2022-01-31,,,0.3685684500740058,0.29972616463591123,0.3317053852900829,,,,,
2022-02-28,,,,0.32398696507058034,0.2434520833153992,0.43256095161402036,,,,
2022-03-31,,,,0.22761662670360602,0.34928184844317556,0.42310152485321834,,,,
2022-04-29,,,,0.2214045091112134,0.3310451546110163,0.44755033627777036,,,,
2022-05-31,,,,1.0,,,,,,
2022-06-30,,,,1.0,,,,,,
2022-07-29,,,,1.0,,,,,,
2022-08-31,,,,1.0,,,,,,
2022-09-30,,,,1.0,,,,,,
2022-10-31,,,,1.0,,,,,,
2022-11-30,,,,1.0,,,,,,
2022-12-30,,,,0.3223274640216954,,0.39420780997759,,,,0.2834647260007146
2023-01-31,0.2956295443626048,,,,,0.39328183509840087,,,,0.31108862053899416
2023-02-28,,,,,,0.4985493847575824,,,,0.5014506152424176
2023-03-31,,0.26385437939438106,,,,0.35889084853128955,,,,0.37725477207432945
2023-04-28,,0.26705513636421196,,,,0.34562392924953195,,,,0.38732093438625603
2023-05-31,,0.29914868465212063,0.36836831070528664,,,0.3324830046425927,,,,
2023-06-30,,0.26524093545333816,0.3720537713959505,,,,,,,0.3627052931507114
2023-07-31,,0.2692096394340058,0.4036744124953461,,,,,,,0.32711594807064825
2023-08-31,,0.2639582392099077,0.4102968254817571,,,,,,,0.3257449353083352
2023-09-29,,0.24768442004504482,0.3633364666231101,0.3889791133318451,,,,,,
2023-10-31,,0.265386473820496,,0.34265171806613026,,0.39196180811337383,,,,
2023-11-30,,0.2758274732594478,0.35712151667660164,,,0.3670510100639507,,,,
2023-12-29,,0.33870332880100795,0.43636005256573546,,0.22493661863325654,,,,,
2024-01-31,,0.2852382382440603,0.3784138072687682,,,,,,,0.3363479544871715
2024-02-29,,0.2715785183338075,0.3693034453007395,,,,,,,0.3591180363654531
2024-03-28,,0.25348437203240926,0.3661224358549983,,,,,,,0.3803931921125925
2024-04-30,,0.27758460782470273,0.3829177062917387,,,0.33949768588355855,,,,
2024-05-31,,0.29711013975817363,0.4108805690147236,,,0.29200929122710284,,,,
2024-06-28,,0.30717199205964374,0.43521837589487106,,,0.25760963204548526,,,,
2024-07-31,,0.2773180605540595,0.4448756567694511,,,0.27780628267648927,,,,
2024-08-30,,,0.34580166095100057,,0.35508531532243126,0.2991130237265682,,,,
2024-09-30,,,0.311767697785838,,0.35514901804687216,0.3330832841672898,,,,
2024-10-31,,0.2556908634783151,,,0.3612745640256534,0.3830345724960315,,,,
2024-11-29,,0.2700422574104427,0.3862020423014277,,0.3437557002881296,,,,,
2024-12-31,,0.29160778975851764,0.39791379362969687,,,0.3104784166117856,,,,
2025-01-31,,0.28253881596395225,0.39125389097179064,,,0.3262072930642571,,,,
2025-02-28,,0.2592435705641257,0.3699437856905102,,,0.3708126437453641,,,,
2025-03-31,,,,0.3634045389379281,,0.33235341225597526,,,,0.30424204880609673
2025-04-30,,,,,,0.21698045506188277,0.6193996908525151,,,0.1636198540856021
2025-05-30,0.3239502373138152,,,,,0.35337427369666613,,,,0.32267548898951853
2025-06-30,0.3336843662304899,,,,,0.3340974117090703,,,,0.33221822206043977
2025-07-31,0.3877296158555699,0.35987390882806974,,,,0.2523964753163602,,,,
2025-08-29,0.3483509002730625,0.3535677555803926,,,,0.2980813441465449,,,,
2025-09-30,0.3605553802838189,0.35234110153530185,,,,0.28710351818087926,,,,
2025-10-31,0.3666940189951938,0.3888189281983274,,,,0.24448705280647873,,,,
2025-11-28,0.39052211021252303,0.3536649018529901,,,,0.255812987934487,,,,
2025-12-30,0.3317970334847237,,,,,0.20746364998003,,,,0.46073931653524625
