,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99851.59841352055
2018-02-02,97919.42577122198
2018-02-05,95139.74429379526
2018-02-06,96373.63079891888
2018-02-07,95282.6463850413
2018-02-08,92918.93255880682
2018-02-09,93462.64768534445
2018-02-12,94620.65121818951
2018-02-13,94886.1916312409
2018-02-14,96529.47181592515
2018-02-15,97452.68294547294
2018-02-16,97416.27858326971
2018-02-20,96791.68339851909
2018-02-21,96450.10254312708
2018-02-22,96796.3104355933
2018-02-23,97848.83428715199
2018-02-26,98697.06860297851
2018-02-27,97300.77208683756
2018-02-28,96477.64182777001
2018-03-01,95585.24762132483
2018-03-02,96009.94947486967
2018-03-05,96486.5929732439
2018-03-06,97091.23686483726
2018-03-07,96748.37129775222
2018-03-08,96741.23417596878
2018-03-09,97780.06444224172
2018-03-12,97836.29660723067
2018-03-13,97349.94650889096
2018-03-14,97313.60328227648
2018-03-15,97075.84128961619
2018-03-16,97036.14547503933
2018-03-19,96248.22022802032
2018-03-20,96460.51250559223
2018-03-21,97243.7523133811
2018-03-22,95682.87946601822
2018-03-23,95182.14271649449
2018-03-26,96726.23391801683
2018-03-27,95559.32526927319
2018-03-28,95003.37220880996
2018-03-29,95941.60320216212
2018-04-02,94730.38518739467
2018-04-03,95148.46499844894
2018-04-04,95443.56950865473
2018-04-05,95718.96375898099
2018-04-06,94804.47202152066
2018-04-09,95438.65004131914
2018-04-10,96683.56849589004
2018-04-11,96857.2525301892
2018-04-12,96775.1415152676
2018-04-13,96761.32290687031
2018-04-16,96941.78264327823
2018-04-17,97444.69215366388
2018-04-18,98093.64366864089
2018-04-19,97656.9941808054
2018-04-20,96958.76183049538
2018-04-23,96624.40700880959
2018-04-24,96101.08090998376
2018-04-25,95927.63855467486
2018-04-26,96542.59891708975
2018-04-27,96725.8634934054
2018-04-30,96359.85351971889
2018-05-01,95898.57204245144
2018-05-02,95647.9711624223
2018-05-03,95905.7808786406
2018-05-04,96566.84745219078
2018-05-07,96630.25767031778
2018-05-08,96746.86567486764
2018-05-09,97187.49890696429
2018-05-10,98027.77909456726
2018-05-11,97912.51805341353
2018-05-14,98037.12395555113
2018-05-15,97104.69467472816
2018-05-16,97498.53560850614
2018-05-17,97342.83589675641
2018-05-18,97127.29818143812
2018-05-21,97636.69160045448
2018-05-22,97613.26157183781
2018-05-23,97701.17376633026
2018-05-24,97626.53467468321
2018-05-25,97140.66764657827
2018-05-29,96154.72861245085
2018-05-30,97042.72761558327
2018-05-31,96735.8165368695
2018-06-01,97150.3991912407
2018-06-04,97424.52954613155
2018-06-05,97326.36101991517
2018-06-06,98003.8602504647
2018-06-07,97674.82092660612
2018-06-08,97771.98559096734
2018-06-11,97919.97283418757
2018-06-12,97924.03511538754
2018-06-13,97553.75092545754
2018-06-14,97514.74601880174
2018-06-15,96751.62985843819
2018-06-18,96589.44172098183
2018-06-19,95952.28981985881
2018-06-20,96298.55175481195
2018-06-21,95728.60363082682
2018-06-22,96598.52382157888
2018-06-25,95422.05491688661
2018-06-26,95740.45928709721
2018-06-27,95083.09836207342
2018-06-28,95583.52272360874
2018-06-29,96193.52534762543
2018-07-02,95726.05148828989
2018-07-03,95704.61301665228
2018-07-05,96376.32959888369
2018-07-06,96888.07773110922
2018-07-09,97221.09101762628
2018-07-10,97268.0304137881
2018-07-11,96461.67233032294
2018-07-12,97034.51244271101
2018-07-13,97075.1566179734
2018-07-16,96738.88050323224
2018-07-17,96814.94406127396
2018-07-18,96883.25037511691
2018-07-19,96866.19519851358
2018-07-20,96895.30181992642
2018-07-23,96941.3938488512
2018-07-24,97199.50577486263
2018-07-25,97820.7045545264
2018-07-26,97640.48423601958
2018-07-27,97294.27162185428
2018-07-30,97189.74216875012
2018-07-31,97544.2830197566
2018-08-01,97301.62253358739
2018-08-02,97453.78074600367
2018-08-03,97726.77258084083
2018-08-06,97865.76317617798
2018-08-07,98094.80807649379
2018-08-08,97903.11389898148
2018-08-09,97786.74387104403
2018-08-10,97238.58382723414
2018-08-13,97043.7461859344
2018-08-14,97330.03955170923
2018-08-15,96785.5473386708
2018-08-16,97206.11272839108
2018-08-17,97505.64857763308
2018-08-20,97628.85801527096
2018-08-21,97778.1599365773
2018-08-22,97916.70999742749
2018-08-23,97758.93160486303
2018-08-24,98194.96547976557
2018-08-27,98552.65719177121
2018-08-28,98655.33636203577
2018-08-29,98966.42381908846
2018-08-30,98664.64160691801
2018-08-31,98697.55772200873
2018-09-04,98111.89822744741
2018-09-05,97912.82351221885
2018-09-06,97875.8118482081
2018-09-07,97566.38056556812
2018-09-10,97824.38284082134
2018-09-11,97904.84646629158
2018-09-12,98075.46889284892
2018-09-13,98322.0859876707
2018-09-14,98176.44221968546
2018-09-17,97978.24453597095
2018-09-18,97989.74514859135
2018-09-19,97763.22191089563
2018-09-20,98176.79174615882
2018-09-21,98136.89964590513
2018-09-24,97988.36179801439
2018-09-25,97952.12390549817
2018-09-26,97914.2896827969
2018-09-27,98193.07353491691
2018-09-28,98387.34856399635
2018-10-01,98468.13372980714
2018-10-02,98356.56900638917
2018-10-03,98197.10555928462
2018-10-04,97481.73315262492
2018-10-05,97004.82632643168
2018-10-08,96901.69558959536
2018-10-09,97023.03764927154
2018-10-10,95408.5871016845
2018-10-11,94586.59855626483
2018-10-12,95311.49109664459
2018-10-15,95156.36814228592
2018-10-16,96191.52803469122
2018-10-17,95951.58647142537
2018-10-18,95122.25385704411
2018-10-19,95297.2034974693
2018-10-22,95152.51542850616
