,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99261.49194663434
2018-02-02,96486.75252385458
2018-02-05,92625.13677749963
2018-02-06,95468.17702048895
2018-02-07,94426.70461409756
2018-02-08,90812.65505779935
2018-02-09,92715.32095252683
2018-02-12,94483.52652610878
2018-02-13,94481.26766221611
2018-02-14,95984.44070670003
2018-02-15,97260.9654021413
2018-02-16,97013.42199994644
2018-02-20,96842.98843081339
2018-02-21,96362.54544423398
2018-02-22,96738.32563745593
2018-02-23,98466.146194503
2018-02-26,99461.20526731217
2018-02-27,98275.9256493408
2018-02-28,97061.40187051217
2018-03-01,96273.66078058872
2018-03-02,96545.18123731844
2018-03-05,97632.8566516301
2018-03-06,97996.98782547293
2018-03-07,97296.42774321139
2018-03-08,97435.48635551838
2018-03-09,99118.33663036147
2018-03-12,99266.70529195422
2018-03-13,98562.08028096586
2018-03-14,98211.29544145055
2018-03-15,97906.09701601113
2018-03-16,98289.61683937932
2018-03-19,96918.0539217985
2018-03-20,97616.72562662532
2018-03-21,98858.43324851293
2018-03-22,96798.96994562159
2018-03-23,95561.10755506449
2018-03-26,97819.81576096738
2018-03-27,96409.17589333736
2018-03-28,94877.60412859265
2018-03-29,96546.97538988595
2018-04-02,93844.94593200531
2018-04-03,94903.43682723443
2018-04-04,96436.63198938052
2018-04-05,97282.34572382478
2018-04-06,95055.06273481043
2018-04-09,95309.10276838567
2018-04-10,97060.30382862368
2018-04-11,96625.63978701849
2018-04-12,97416.71482105335
2018-04-13,96983.5593044784
2018-04-16,97720.64824433942
2018-04-17,99537.50615991766
2018-04-18,99637.99968741191
2018-04-19,98928.75021440184
2018-04-20,97739.68441618656
2018-04-23,97667.58958447116
2018-04-24,96045.42084620419
2018-04-25,96252.54313745453
2018-04-26,97906.32927511113
2018-04-27,98041.49229676905
2018-04-30,97529.82104125309
2018-05-01,98010.30818845054
2018-05-02,97625.05085050286
2018-05-03,97520.68642944103
2018-05-04,99091.01629415948
2018-05-07,99604.70786812124
2018-05-08,99509.73408000526
2018-05-09,100303.21680434364
2018-05-10,101150.6729149553
2018-05-11,101179.57731454022
2018-05-14,101266.0115879267
2018-05-15,100489.00802844639
2018-05-16,101127.80321825374
2018-05-17,100695.90816672615
2018-05-18,100419.28519635605
2018-05-21,101137.54285123394
2018-05-22,100842.65605112862
2018-05-23,101578.49084797355
2018-05-24,101626.93613292021
2018-05-25,101664.86189968913
2018-05-29,100997.50804017721
2018-05-30,101827.22871527803
2018-05-31,101602.75669547138
2018-06-01,102013.76422325679
2018-06-04,102144.06789660617
2018-06-05,102326.04220957536
2018-06-06,103050.30866423828
2018-06-07,103970.678442609
2018-06-08,103980.90598775778
2018-06-11,104458.62148664531
2018-06-12,104319.1894430351
2018-06-13,104207.25006992396
2018-06-14,104689.99414820345
2018-06-15,103685.32971323965
2018-06-18,104090.88100469467
2018-06-19,103909.44362494355
2018-06-20,104385.75343892735
2018-06-21,103067.96386365726
2018-06-22,103963.64088173192
2018-06-25,101786.61224392315
2018-06-26,102785.9488341306
2018-06-27,102774.86260669105
2018-06-28,103116.26721262913
2018-06-29,103523.14714799312
2018-07-02,103848.25558484012
2018-07-03,102971.10964322148
2018-07-05,103955.06916230524
2018-07-06,104971.27477116713
2018-07-09,105996.69019833923
2018-07-10,106236.54644914297
2018-07-11,105905.43571927439
2018-07-12,107095.4660189381
2018-07-13,107154.12886583898
2018-07-16,107160.07460760407
2018-07-17,107613.60672763272
2018-07-18,107491.25663598161
2018-07-19,107175.05783007169
2018-07-20,106953.62006198712
2018-07-23,107172.02402239901
2018-07-24,107313.49511360584
2018-07-25,108385.18925042404
2018-07-26,107258.60911309133
2018-07-27,106192.05012358667
2018-07-30,104938.58518898505
2018-07-31,105325.60675217528
2018-08-01,104047.46548737938
2018-08-02,104020.06182544453
2018-08-03,104341.68745907607
2018-08-06,104572.33355647007
2018-08-07,104874.3345105086
2018-08-08,104220.74252642397
2018-08-09,103982.64566866067
2018-08-10,104067.10910331737
2018-08-13,103482.5722128813
2018-08-14,103714.77242981632
2018-08-15,102430.70286811667
2018-08-16,103362.5230168229
2018-08-17,103763.96973097077
2018-08-20,103908.73425375187
2018-08-21,103772.61077053682
2018-08-22,103974.11317366303
2018-08-23,103695.73762836354
2018-08-24,104292.7463225578
2018-08-27,104339.03611637291
2018-08-28,104011.42810037342
2018-08-29,104713.19986907321
2018-08-30,104590.02036509273
2018-08-31,103965.75646909983
2018-09-04,103186.7371843073
2018-09-05,103438.91464794769
2018-09-06,102652.6887624019
2018-09-07,101986.70599500489
2018-09-10,102241.65616476408
2018-09-11,102737.87234046296
2018-09-12,103048.6795096042
2018-09-13,103391.43556267655
2018-09-14,103218.79133745845
2018-09-17,103593.60514932426
2018-09-18,103628.60084246454
2018-09-19,103298.44026068706
2018-09-20,103695.53786470674
2018-09-21,104041.48023831277
2018-09-24,103806.6426544868
2018-09-25,104104.01882454145
2018-09-26,103027.18207455966
2018-09-27,103182.05809120859
2018-09-28,103654.22886406719
2018-10-01,103535.44861844131
2018-10-02,102845.13992890906
2018-10-03,102830.96921660501
2018-10-04,101096.04191156582
2018-10-05,100075.56240220167
2018-10-08,99633.62051526792
2018-10-09,99666.52907076526
2018-10-10,95567.94239774754
2018-10-11,94120.920824598
2018-10-12,96500.77011431142
2018-10-15,95593.9829951803
2018-10-16,97993.41085586396
2018-10-17,97365.2741945583
2018-10-18,95477.35141524803
2018-10-19,94993.4418706965
2018-10-22,95581.42118128667
