,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99772.08043265434
2018-02-02,97329.24606513785
2018-02-05,93046.6943207741
2018-02-06,95322.5057748036
2018-02-07,94862.42324651654
2018-02-08,91087.85613560109
2018-02-09,92723.34461355304
2018-02-12,94307.72638828849
2018-02-13,94460.61853717931
2018-02-14,96072.4444529281
2018-02-15,97205.30495328034
2018-02-16,97054.20058185274
2018-02-20,96649.0773820683
2018-02-21,96448.71188618657
2018-02-22,96594.81706655267
2018-02-23,98020.30642894341
2018-02-26,99222.50567534423
2018-02-27,98084.61489886831
2018-02-28,96785.33789227862
2018-03-01,95141.84139878229
2018-03-02,95643.887309293
2018-03-05,96756.87366502493
2018-03-06,97143.22151532734
2018-03-07,97270.30626519684
2018-03-08,97635.71423991089
2018-03-09,99479.67833608377
2018-03-12,99307.03486509084
2018-03-13,98674.39045363409
2018-03-14,97952.87260850635
2018-03-15,97615.28799513081
2018-03-16,97609.06358676187
2018-03-19,96199.42645411076
2018-03-20,96257.70501194992
2018-03-21,96268.2280103408
2018-03-22,93346.98274585127
2018-03-23,91074.39826959936
2018-03-26,93614.46430653121
2018-03-27,91888.45437685325
2018-03-28,91608.79492353168
2018-03-29,92981.33572521614
2018-04-02,90596.2606468643
2018-04-03,91732.69021808733
2018-04-04,92814.92848504649
2018-04-05,93641.49080345352
2018-04-06,91358.7995038908
2018-04-09,91538.64668508015
2018-04-10,93073.53539601882
2018-04-11,92417.91318985994
2018-04-12,93530.62953714242
2018-04-13,92912.43295236654
2018-04-16,93599.41801639742
2018-04-17,94671.02682057185
2018-04-18,94853.61136827338
2018-04-19,94799.91239677498
2018-04-20,94132.70559738953
2018-04-23,94044.6366919622
2018-04-24,92453.14776958582
2018-04-25,92601.63383628672
2018-04-26,93322.0892615927
2018-04-27,93373.98645492824
2018-04-30,92614.33128537613
2018-05-01,92868.0511263024
2018-05-02,92276.20897827862
2018-05-03,91951.99555097391
2018-05-04,93338.9551359681
2018-05-07,93866.19195381837
2018-05-08,94019.3160915128
2018-05-09,94981.83314117038
2018-05-10,95776.47820151589
2018-05-11,95772.3304147765
2018-05-14,95804.59789174244
2018-05-15,95256.57978458687
2018-05-16,95717.10276735452
2018-05-17,95376.34077700716
2018-05-18,94943.07369504712
2018-05-21,95622.25321919288
2018-05-22,95648.82904856541
2018-05-23,95912.62583814726
2018-05-24,95696.37176302967
2018-05-25,95619.36342571155
2018-05-29,94153.05573297148
2018-05-30,95228.29613613055
2018-05-31,94828.04159385322
2018-06-01,95557.65918451022
2018-06-04,95895.99295185036
2018-06-05,96122.04303910589
2018-06-06,96784.8108302705
2018-06-07,97095.72074875861
2018-06-08,97047.91571997604
2018-06-11,97381.26842720364
2018-06-12,97452.47673181523
2018-06-13,97215.84207441554
2018-06-14,97746.37750746921
2018-06-15,96996.70323138326
2018-06-18,97285.27335186106
2018-06-19,97004.81953587705
2018-06-20,97369.12044712045
2018-06-21,96300.06873378664
2018-06-22,96753.21117019869
2018-06-25,94732.85614679195
2018-06-26,95481.47301267473
2018-06-27,95044.3157565669
2018-06-28,95637.18102888083
2018-06-29,95876.7607472379
2018-07-02,95543.2367009531
2018-07-03,95199.05609424079
2018-07-05,95772.98317292712
2018-07-06,96593.61848219659
2018-07-09,97701.33785034408
2018-07-10,98088.83609465093
2018-07-11,97195.60122547923
2018-07-12,97984.95765450405
2018-07-13,98189.16467452222
2018-07-16,97823.23981590939
2018-07-17,97977.26790187033
2018-07-18,97922.71660163815
2018-07-19,97735.89224241025
2018-07-20,97489.9683656096
2018-07-23,97486.21837517574
2018-07-24,97968.36551754385
2018-07-25,98894.65610432849
2018-07-26,98547.68633713426
2018-07-27,97750.5605738333
2018-07-30,97241.247458241
2018-07-31,97421.39739167946
2018-08-01,96994.19990744635
2018-08-02,97426.47752723187
2018-08-03,97620.54997277426
2018-08-06,98050.03617282303
2018-08-07,98438.8337917564
2018-08-08,98398.5041906512
2018-08-09,98252.57960234975
2018-08-10,97881.22030544511
2018-08-13,97428.0705249023
2018-08-14,97991.92695063628
2018-08-15,96603.79900990591
2018-08-16,97238.03627852016
2018-08-17,97430.85947726981
2018-08-20,97804.34129429638
2018-08-21,98158.69639309672
2018-08-22,98562.26784723885
2018-08-23,98474.55120859003
2018-08-24,99165.00269700853
2018-08-27,99823.25225710988
2018-08-28,99830.86490224452
2018-08-29,100656.89538350658
2018-08-30,100346.38157188219
2018-08-31,100279.14864666628
2018-09-04,99776.55746470901
2018-09-05,99262.08254457323
2018-09-06,98554.44455713671
2018-09-07,98503.94301366856
2018-09-10,98597.25183337304
2018-09-11,99215.06679473922
2018-09-12,99411.29653511252
2018-09-13,100062.21401405503
2018-09-14,99995.70377919005
2018-09-17,99323.0568983023
2018-09-18,100103.40424222917
2018-09-19,100093.45325437788
2018-09-20,100807.96487593654
2018-09-21,100799.523389414
2018-09-24,101183.01782180586
2018-09-25,101345.58256375324
2018-09-26,101116.9545890528
2018-09-27,101478.83451279829
2018-09-28,101557.81095254916
2018-10-01,101874.59801177356
2018-10-02,101533.90340523455
2018-10-03,101686.44991028332
2018-10-04,100481.7998741028
2018-10-05,99949.24366173458
2018-10-08,99702.01970866663
2018-10-09,99991.58142392567
2018-10-10,96573.58197932702
2018-10-11,94348.52145592202
2018-10-12,95948.78272701724
2018-10-15,95132.71372071402
2018-10-16,97169.32262183938
2018-10-17,96838.20616158159
2018-10-18,95510.61738271879
2018-10-19,94835.74677705625
2018-10-22,94659.76786938138
