,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,100184.34256086178
2018-02-02,97789.48409504225
2018-02-05,93301.3927676971
2018-02-06,95330.72344587259
2018-02-07,95002.93644867923
2018-02-08,91075.76620584205
2018-02-09,92727.43163780763
2018-02-12,94215.72647659905
2018-02-13,94498.93961030254
2018-02-14,96224.8411731511
2018-02-15,97497.2700966073
2018-02-16,97412.18221326011
2018-02-20,97014.83898560875
2018-02-21,96858.77755215498
2018-02-22,96841.98582160156
2018-02-23,98271.83878193026
2018-02-26,99731.94292353664
2018-02-27,98664.40322022374
2018-02-28,97503.33709488275
2018-03-01,95905.19764780636
2018-03-02,96564.72098495695
2018-03-05,97569.3723738434
2018-03-06,97818.90244516401
2018-03-07,97944.16154771924
2018-03-08,98409.52482721618
2018-03-09,100011.917096786
2018-03-12,100083.04588145207
2018-03-13,99506.26294935735
2018-03-14,99275.3174296912
2018-03-15,99206.07293888638
2018-03-16,99137.30205736005
2018-03-19,97535.29059326921
2018-03-20,97761.20073946004
2018-03-21,97401.23860018316
2018-03-22,94939.66839077415
2018-03-23,92817.5089630124
2018-03-26,95545.7218917534
2018-03-27,93521.47127454529
2018-03-28,93098.08620320182
2018-03-29,94377.86709180703
2018-04-02,91859.45981740711
2018-04-03,92970.61424409828
2018-04-04,94300.03441962652
2018-04-05,95101.71137434593
2018-04-06,92887.23724648889
2018-04-09,93223.60273871355
2018-04-10,94831.74428570649
2018-04-11,94172.67132064384
2018-04-12,95234.83137018218
2018-04-13,94474.25319438684
2018-04-16,95091.26020616293
2018-04-17,96275.28607673828
2018-04-18,96192.73764244697
2018-04-19,96208.8233344079
2018-04-20,95445.3070231037
2018-04-23,95364.1574923839
2018-04-24,94102.02671028567
2018-04-25,94214.22939495859
2018-04-26,95303.3677185746
2018-04-27,95437.01016580903
2018-04-30,94818.86132804505
2018-05-01,95239.35386965863
2018-05-02,94654.39495773165
2018-05-03,94366.38933775946
2018-05-04,95880.39258729485
2018-05-07,96530.38359394477
2018-05-08,96966.28613844991
2018-05-09,98280.17404983076
2018-05-10,99327.14112836841
2018-05-11,99220.38368093906
2018-05-14,99178.67958695078
2018-05-15,98615.4228224021
2018-05-16,98925.69101566535
2018-05-17,98562.06282011193
2018-05-18,97956.0127230339
2018-05-21,98734.40889462635
2018-05-22,98989.6546730093
2018-05-23,99048.01081688865
2018-05-24,98610.97434217829
2018-05-25,98419.70030566186
2018-05-29,96542.04041735872
2018-05-30,97755.25837267489
2018-05-31,97373.2753576717
2018-06-01,98236.0071356305
2018-06-04,98210.40227901921
2018-06-05,98269.13549980565
2018-06-06,98825.94809127401
2018-06-07,99157.82385791825
2018-06-08,98978.51836748839
2018-06-11,99289.80792801807
2018-06-12,99155.99344089364
2018-06-13,98713.4256233573
2018-06-14,98997.6291335436
2018-06-15,97758.18778479804
2018-06-18,98290.193048088
2018-06-19,97922.70099347233
2018-06-20,98239.67859630214
2018-06-21,96961.55653116958
2018-06-22,97747.04607769007
2018-06-25,95749.91567272814
2018-06-26,96543.68566413232
2018-06-27,96524.45237283781
2018-06-28,97046.08998978342
2018-06-29,97327.5845577911
2018-07-02,96989.0135676591
2018-07-03,96639.62476017472
2018-07-05,97222.23660318546
2018-07-06,98055.28990861158
2018-07-09,99179.77147880042
2018-07-10,99573.13341390167
2018-07-11,98666.38195941242
2018-07-12,99467.68306714058
2018-07-13,99674.98018328438
2018-07-16,99303.51808609975
2018-07-17,99459.87695183323
2018-07-18,99404.50017184293
2018-07-19,99214.84875393419
2018-07-20,98965.20351427913
2018-07-23,98961.39677833812
2018-07-24,99450.83985507954
2018-07-25,100391.14723204699
2018-07-26,100038.9270580194
2018-07-27,99229.73904909824
2018-07-30,98712.71891890334
2018-07-31,98895.5949124513
2018-08-01,98375.83044690973
2018-08-02,98838.8523771258
2018-08-03,98905.45258474485
2018-08-06,99427.56764835995
2018-08-07,99950.11688384347
2018-08-08,99843.73843988206
2018-08-09,99683.22281914964
2018-08-10,99324.86477594746
2018-08-13,98700.42025809403
2018-08-14,99308.23271604576
2018-08-15,97484.88516118143
2018-08-16,98017.78247436545
2018-08-17,98175.18663203288
2018-08-20,98569.70084104394
2018-08-21,99049.32385671783
2018-08-22,99562.26547881166
2018-08-23,99454.64212483913
2018-08-24,100226.39231620943
2018-08-27,100995.25976401061
2018-08-28,100987.07425359008
2018-08-29,101883.13329236666
2018-08-30,101488.75873656016
2018-08-31,101405.1585589309
2018-09-04,101064.10394070788
2018-09-05,100235.8959058199
2018-09-06,99281.78406519967
2018-09-07,99162.80906707264
2018-09-10,99375.86705258206
2018-09-11,100237.94680374383
2018-09-12,100335.28318394726
2018-09-13,100794.7839128979
2018-09-14,100817.82098884601
2018-09-17,100034.50912446174
2018-09-18,100890.31844898919
2018-09-19,100924.17217203171
2018-09-20,101556.67910410068
2018-09-21,101498.941795796
2018-09-24,101946.64682776258
2018-09-25,102271.69799024498
2018-09-26,101886.78000760438
2018-09-27,102199.50627949125
2018-09-28,102200.13263408703
2018-10-01,102221.92869605866
2018-10-02,101728.8756475882
2018-10-03,101655.24392721274
2018-10-04,100182.54093498678
2018-10-05,99472.46803707731
2018-10-08,99167.68090570226
2018-10-09,99246.47845865214
2018-10-10,95755.5990326385
2018-10-11,93914.74534422111
2018-10-12,95972.1421400283
2018-10-15,95150.99109635252
2018-10-16,97614.31683029984
2018-10-17,97376.51554294187
2018-10-18,95756.79861613191
2018-10-19,95138.57241936657
2018-10-22,95257.07590172063
